date,epiweek,horizon,lower_95,pred,upper_95
2020-07-11,2020-07-03,1,165914.725884389,354132.136773726,547593.214527212
2020-07-11,2020-07-05,1,368784.0,402431.24239959,440146.0
2020-07-11,2020-07-06,1,197791.19769988948,277726.6970720005,341125.87159953953
2020-07-18,2020-07-03,2,104593.590238758,311021.842637469,653208.649786346
2020-07-18,2020-07-05,2,359542.0,416187.0,480405.0
2020-07-18,2020-07-06,2,186852.209794263,306606.186127519,371938.359051829
2020-07-18,2020-07-07,1,16857.7452567441,215628.990234375,414400.235212006
2020-07-18,2020-07-09,1,178492.809796339,387224.948097243,619628.807834573
2020-07-18,2020-07-12,1,379986.0,450976.0,519709.074373577
2020-07-18,2020-07-13,1,320233.263827059,337818.0,402801.858342627
2020-07-25,2020-07-03,3,72781.2364156726,270434.643879717,744789.315553417
2020-07-25,2020-07-05,3,355819.0,432016.0,522656.0
2020-07-25,2020-07-06,3,146133.1603938764,283970.369681233,385952.1459265315
2020-07-25,2020-07-07,2,73109.8625625619,156465.71484375,239821.567124938
2020-07-25,2020-07-09,2,117081.323114869,332766.638442384,711862.751110721
2020-07-25,2020-07-12,2,339158.0,472911.08839968,644448.347304916
2020-07-25,2020-07-13,2,293439.918917203,354881.157604058,444124.732115065
2020-07-25,2020-07-16,1,198928.34726646,433016.544216647,694493.623803764
2020-07-25,2020-07-17,1,612999.598453603,801208.648392591,1108573.2104254
2020-07-25,2020-07-19,1,420572.4525976345,516284.51230060996,589148.0
2020-07-25,2020-07-20,1,354703.0,462365.412320313,517076.43028424203
2020-08-01,2020-07-03,4,49959.6918862323,226318.719309539,771433.180800417
2020-08-01,2020-07-05,4,346431.0,448970.0,590920.63479025
2020-08-01,2020-07-06,4,112466.92517918501,250227.01821622503,382232.8568424335
2020-08-01,2020-07-07,3,119479.864402963,137746.2265625,156012.588722037
2020-08-01,2020-07-09,3,79954.7709606937,285697.702113078,788312.826884782
2020-08-01,2020-07-12,3,297330.0,492005.447699944,685682.169049586
2020-08-01,2020-07-13,3,246050.363619447,322818.0,439497.642022811
2020-08-01,2020-07-16,2,127718.849258476,368807.067836194,777412.946055375
2020-08-01,2020-07-17,2,555624.862422989,787540.627083067,1163436.2789936
2020-08-01,2020-07-19,2,348722.442866596,532464.6278185539,654396.603123207
2020-08-01,2020-07-20,2,301002.204166778,485809.9588705065,623702.0044016836
2020-08-01,2020-07-21,1,246546.380510988,383210.181446455,626383.074253438
2020-08-01,2020-07-22,1,399690.224161915,426165.949295058,458552.88668499
2020-08-01,2020-07-23,1,218774.581410704,465602.295838167,746417.072588335
2020-08-01,2020-07-24,1,423695.066447927,455344.146962325,489812.190301195
2020-08-01,2020-07-26,1,451989.188147731,513011.1248217885,586359.433658021
2020-08-01,2020-07-27,1,390056.0,425158.02,486716.125487928
2020-08-08,2020-07-07,4,131037.4799542,133693.58984375,136349.6997333
2020-08-08,2020-07-09,4,54678.3861159043,241688.778653656,807776.312658906
2020-08-08,2020-07-12,4,300464.15,498158.305995128,728068.284292727
2020-08-08,2020-07-13,4,195030.150718135,306035.08744474,409931.26621442
2020-08-08,2020-07-16,3,88868.5513697731,315698.067792012,858072.382773138
2020-08-08,2020-07-17,3,495746.211308723,755089.682212314,1183034.59553638
2020-08-08,2020-07-19,3,331191.1375,530421.4780449225,706299.3307379195
2020-08-08,2020-07-20,3,269760.8229006245,463596.0797655195,787058.315864695
2020-08-08,2020-07-21,2,118612.1292857,364691.063987956,1177726.86875173
2020-08-08,2020-07-22,2,374757.677642545,404350.651143015,441517.002909255
2020-08-08,2020-07-23,2,145039.085171198,413213.014470089,844967.095292102
2020-08-08,2020-07-24,2,397020.533943768,432978.435369096,472394.847775513
2020-08-08,2020-07-26,2,410540.425,493163.655,669579.551905462
2020-08-08,2020-07-27,2,334323.0,412680.718603252,553747.93946074
2020-08-08,2020-07-28,1,339951.82195566,368687.285135879,399191.505505055
2020-08-08,2020-07-29,1,344721.49678546,372149.9178905,404589.850686674
