lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95,date,epiweek
91770.10552451559,93214.98730633267,94704.11364931411,96744.63437238763,98346.07080809415,99307.22212918552,99745.48494168805,99876.18824652694,99939.10274170632,2020-10-24,2020-10-18
80528.84926626044,83877.1376476023,87373.96575801968,92214.82963199833,96037.40356738496,98338.15597812319,99388.73965286472,99702.24376263558,99853.18183272178,2020-10-31,2020-10-18
78659.96351470577,82231.31034399392,85960.79278332023,91196.75183008808,95445.72659647572,98069.23827735058,99286.11083780321,99651.6652046732,99828.0695420123,2020-11-07,2020-10-18
78833.37204982717,82302.67758430382,85952.75625761671,91133.30182853011,95388.1991635037,98038.37249077047,99273.58132998248,99645.38383594483,99824.92568627524,2020-11-14,2020-10-18
83467.08079505111,86227.32673849861,89134.95476817783,93224.38216986525,96519.28298827983,98532.37160413293,99458.92553971961,99736.27799698443,99869.94895512232,2020-10-31,2020-10-25
64326.85688720299,69386.68153891304,75061.13047520888,83700.98690432888,91289.20225781544,96233.51984017863,98594.42896347317,99312.06120806817,99659.75858810561,2020-11-07,2020-10-25
68016.99009708507,72738.92126276052,77959.38913446318,85759.42863954345,92465.39800247541,96763.36629829118,98795.96437967692,99411.29559437992,99709.00836864421,2020-11-14,2020-10-25
69397.83984559074,74001.38139885769,79059.06854015475,86550.54839706564,92923.5596145958,96971.84075928196,98875.67203855835,99450.6066137998,99728.53378924172,2020-11-21,2020-10-25
90413.78653101617,92081.67661252659,93807.29791333959,96182.96663821289,98056.50100440839,99184.82650114145,99700.28579387155,99854.12931236652,99928.2017491928,2020-11-07,2020-11-01
81532.33219692075,84627.33656325126,87888.85968986798,92470.68337851632,96147.26198261189,98380.70120544956,99404.00409814953,99709.64215664708,99856.82691854269,2020-11-14,2020-11-01
74960.77729871942,78933.00241972903,83206.21640293152,89371.5015511329,94473.56721854917,97652.01581204585,99131.11768562508,99575.8974247154,99790.59789118715,2020-11-21,2020-11-01
65996.13877759274,70987.32129254016,76521.62146389138,84814.81935314315,91960.93784917505,96545.84915900805,98714.93316399721,99371.6478329052,99689.39140282314,2020-11-28,2020-11-01
90726.52267994682,92371.34047763536,94059.50515535644,96360.5049784556,98155.89027340678,99228.8179536668,99716.86381289354,99862.26833476307,99932.23534533402,2020-11-14,2020-11-08
83538.18340248687,86322.62924804317,89239.70668350805,93314.52415268253,96574.94206270954,98557.98515118178,99468.70470645471,99741.09511597313,99872.33983282781,2020-11-21,2020-11-08
78328.68343799218,81883.6706588627,85656.72436826685,91009.95659938201,95362.19649001195,98039.114077718,99276.03487338935,99646.9107248794,99825.75958865492,2020-11-28,2020-11-08
70779.62817036075,75294.79553353309,80204.85358661333,87381.85183974082,93401.12648479672,97186.45361116651,98957.08526707278,99490.65372897347,99748.39882368129,2020-12-05,2020-11-08
73062.24180288837,77285.44298400063,81850.49321826514,88475.50021629958,93991.5659693378,97442.97423509687,99053.00485577577,99537.64050916812,99771.66008461671,2020-11-21,2020-11-15
69429.17228867223,74079.44230091787,79166.38032620281,86658.89271749883,92995.88559706225,97006.29031813485,98888.99677390636,99457.19355457497,99731.80852692165,2020-11-28,2020-11-15
60832.60724102611,66340.35556545912,72547.59926478821,82040.47184276355,90399.98555545478,95849.77454910644,98451.44860581597,99242.10064366386,99625.14317876856,2020-12-05,2020-11-15
55638.0227124378,61545.01656281442,68334.40809676066,78983.76679913615,88625.08028066336,95042.6717424706,98143.15131838252,99090.10646896082,99549.66321460805,2020-12-12,2020-11-15
93118.88339746927,94361.370213633,95626.62971866412,97335.11906795132,98655.45390730294,99439.21605622454,99794.4315414455,99900.1054478082,99950.92899288825,2020-11-28,2020-11-22
68440.57395470474,73246.1525563082,78503.43941239543,86243.51937608555,92783.06700252378,96916.9613394016,98856.14309478212,99441.18105011081,99723.9007753611,2020-12-05,2020-11-22
70356.68768390655,74950.4503942051,79941.51524901263,87226.75933203049,93326.04450836556,97156.12659606917,98946.13954804411,99485.34970876585,99745.78681110017,2020-12-12,2020-11-22
75596.73599603922,79569.51267289168,83801.97693803729,89830.35370956808,94747.6637640164,97777.89918280738,99179.33909781046,99599.68642141586,99802.41471845332,2020-12-19,2020-11-22
83655.89686691666,86430.10318959864,89332.33915874558,93379.20099887639,96611.0430825057,98573.95421867877,99474.72235752654,99744.04955681383,99873.80403750906,2020-12-05,2020-11-29
70976.23354507974,75473.77652115263,80359.24623404877,87490.33288537405,93462.18873959608,97213.63396054001,98967.35980549843,99495.70301342163,99750.90239656212,2020-12-12,2020-11-29
74541.27676125303,78663.0519545537,83062.72466886957,89346.18469228705,94488.33626732904,97665.59127582522,99137.38844773357,99579.14207830656,99792.2452541331,2020-12-19,2020-11-29
66363.03256202266,71286.1333218784,76748.29556052365,84943.75932319408,92019.5964638559,96568.07362573539,98722.64356972264,99375.33434065932,99691.1946453203,2020-12-26,2020-11-29
92611.31810172273,93941.17527231034,95297.34651071625,97131.6920064636,98551.72067607359,99395.66206907727,99778.39695388022,99892.28711145143,99947.06709032583,2020-12-12,2020-12-06
84551.71845796188,87203.77669313105,89965.1413228999,93793.23152900512,96831.67923177351,98669.03603741092,99510.14190924964,99761.38034005537,99882.37911321968,2020-12-19,2020-12-06
73584.06007048485,77793.92345965203,82316.88962476965,88828.02760210948,94200.23789116733,97538.48086473843,99089.550043717,99555.66445127764,99780.61212883944,2020-12-26,2020-12-06
60023.08055902272,65731.55082581581,72138.78780623586,81869.94026047841,90358.72401212825,95846.83292210182,98453.0860921094,99243.31423811613,99625.84299683417,2021-01-02,2020-12-06
94219.85276953995,95270.85720190631,96337.78375932183,97773.16835126236,98878.32152236725,99532.66475951357,99828.81421158907,99916.86705452565,99959.20774390797,2020-12-19,2020-12-13
93140.6194492675,94379.82798831869,95641.45860313484,97344.57938684011,98660.3939966229,99441.31879171146,99795.21043511877,99900.48586625318,99951.11707519736,2020-12-26,2020-12-13
87911.5112023312,90026.11407118809,92209.87532211616,95207.95875501755,97564.27590922591,98979.44618291473,99624.89385117403,99817.40106048762,99910.06728211147,2021-01-02,2020-12-13
80109.45587796267,83412.84556397877,86900.94141245265,91819.10485181998,95791.72666598143,98223.85796849479,99344.80045098615,99680.55017382708,99842.40223542755,2021-01-09,2020-12-13
95340.81038338762,96193.4978442291,97056.58139676164,98213.75965711761,99101.64276424744,99626.09676782988,99863.15636310526,99933.60390206952,99967.47309434305,2020-12-26,2020-12-20
91767.08703644152,93242.18381883865,94749.52141991323,96793.19999901921,98379.09385597512,99323.17717383405,99751.71050745886,99879.27494011237,99940.63958294957,2021-01-02,2020-12-20
86903.34340662413,89179.56569738206,91536.84701021692,94784.00787255267,97344.82319780705,98886.48192949666,99590.5303382427,99800.6256443407,99901.77616168557,2021-01-09,2020-12-20
79994.35112409208,83313.69866677874,86820.02788251331,91766.28460616838,95763.61184869958,98211.74760276936,99340.28981110756,99678.34320122951,99841.31026989907,2021-01-16,2020-12-20
88447.27806773747,90475.84354542161,92567.29646934797,95432.99159402469,97680.71415163859,99028.75935840349,99643.11998097766,99826.2983113173,99914.46457175614,2021-01-02,2020-12-27
87290.34983234362,89501.2644464729,91789.95945503167,94941.19367743887,97425.28564020646,98920.34005472947,99603.00765273492,99806.71121887381,99904.78258760653,2021-01-09,2020-12-27
82407.94603128074,85371.71636980928,88482.143213387,92835.93440717668,96326.62377545555,98452.64135350239,99429.73934985699,99722.06939316618,99862.93564303088,2021-01-16,2020-12-27
72162.24981139257,76505.98628622366,81211.22519755628,88055.89592169927,93767.53980310023,97346.35783333344,99017.0049737981,99520.02473608802,99762.94377985525,2021-01-23,2020-12-27
89944.65751615554,91725.29592273767,93554.29879079554,96049.35652941973,97997.63531859724,99162.47903966003,99692.4591008617,99850.37151484964,99926.35946922099,2021-01-09,2021-01-03
86119.46629098966,88521.92140482455,91014.49161779464,94455.41104139677,97174.91659384198,98814.55507930854,99563.95148617892,99787.65170211495,99895.36418425762,2021-01-16,2021-01-03
80412.16687987049,83671.99954220075,87111.1881393832,91955.33687118013,95863.85939861186,98254.83909186335,99356.32525173278,99686.18700264761,99845.19074356867,2021-01-23,2021-01-03
71067.05285375327,75558.38336610582,80433.89602111878,87544.3348559487,93493.24520235395,97227.62876002412,98972.67888898379,99498.32119457598,99752.2015530893,2021-01-30,2021-01-03
88539.48045308668,90553.30554612601,92628.91053571028,95471.82511468389,97700.8232004213,99037.27951569819,99646.26962198659,99827.83593985507,99915.2245446127,2021-01-16,2021-01-10
