lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95,date,epiweek
327048.95594017045,331189.552330613,336028.4974576634,344272.4483177066,353669.4881333576,363323.02351735404,372236.6042846422,377675.2797794986,382456.82967229345,2020-10-24,2020-10-18
298415.7205001679,304202.3004775658,311013.2543810959,322736.0553336895,336279.85796315025,350392.033994449,363599.1112235699,371739.9332424056,378948.34321120445,2020-10-31,2020-10-18
278685.9166988019,284794.4855642172,292003.6358184362,304459.3392434475,318922.6137226519,334072.9629001744,348323.17501324095,357140.4598729608,364968.68858147465,2020-11-07,2020-10-18
269105.2305720432,275734.2439478527,283579.9915041182,297191.22709867527,313081.8329645885,329822.0983485532,345652.85658047925,355488.069704553,364244.997854938,2020-11-14,2020-10-18
463081.6375861307,464674.75638494105,466518.32365465234,469615.1801079176,473080.1279267239,476570.64106772514,479734.2271272513,481637.5418805049,483294.4977170229,2020-10-31,2020-10-25
504169.58509757783,510800.279738923,518553.34838081343,531771.8784273473,546854.1699763761,562364.2305135707,576699.5510767319,585452.8571781509,593152.5662395377,2020-11-07,2020-10-25
536685.9015149552,548608.4666167644,562683.5106866488,587012.7277801349,615279.9052567867,644908.2684193406,672792.7060646013,690053.8085885093,705383.4668363302,2020-11-14,2020-10-25
579029.8050922238,595113.5280591557,614212.2817851616,647503.0202005281,686611.7818591663,728082.6873082668,767545.281930259,792177.8228186364,814182.1627173965,2020-11-21,2020-10-25
530384.9223163453,536092.0019418023,542748.1564045788,554055.2307926707,566894.683289407,580031.6720808194,592115.4740915227,599467.2197640522,605917.6428663973,2020-11-07,2020-11-01
494119.68739588285,507308.12685630546,522951.0228218884,550173.3972401661,582084.504807951,615846.5175472889,647904.5951745217,667882.7970628759,685709.10931152,2020-11-14,2020-11-01
490560.6219732598,508749.61887162627,530558.9481503319,569107.6411150794,615231.4770803438,665093.4604371671,713416.994869366,744000.1060442497,771586.1270477063,2020-11-21,2020-11-01
524802.414893201,547880.4192217793,575750.2034270259,625518.8463445219,685876.6397672347,752058.499480114,817067.4750582485,858630.3661784388,896388.3389792066,2020-11-28,2020-11-01
813388.5782554151,816952.2720416292,821080.3650700991,828024.8284324933,835809.5351833954,843667.4301493323,850802.9284610196,855102.070231939,858848.5230537876,2020-11-14,2020-11-08
1008903.011993003,1015248.0830827771,1022613.0851570877,1035039.1012363177,1049022.4661137077,1063194.7460698236,1076113.8796128752,1083920.425705016,1090737.28726158,2020-11-21,2020-11-08
829661.6477179596,861452.7180448292,899620.5897287687,967208.3797479268,1048274.767422668,1136135.719069595,1221492.705437473,1275612.654063115,1324491.7262809393,2020-11-28,2020-11-08
929723.109120432,973938.2821240565,1027531.5378234303,1123745.1302875932,1241246.8882020884,1371034.9401710576,1499412.7000081614,1581921.4274145558,1657153.4281093075,2020-12-05,2020-11-08
1181305.2572050316,1185162.5581087554,1189625.4134940386,1197120.182315296,1205502.803538414,1213944.1225761776,1221592.1018959119,1226192.1365943295,1230196.0060495583,2020-11-21,2020-11-15
1358869.1322923636,1368792.634371357,1380323.7713438657,1399808.9783921132,1421781.2115325192,1444098.3338946893,1464483.8083885268,1476821.0777195417,1487605.955149444,2020-11-28,2020-11-15
1315046.0561955653,1369155.9702824913,1434310.2249177308,1550172.3387751002,1689912.1005672808,1842248.6559786566,1991063.6193139616,2085812.697478502,2171637.1789331627,2020-12-05,2020-11-15
1471043.6628486787,1539444.7619465834,1622263.4763168239,1770711.5013928998,1951631.9483172158,2151037.7374836453,2347872.165833431,2474182.481790544,2589227.8780607865,2020-12-12,2020-11-15
1249616.2794847991,1253660.597418978,1258339.6846798921,1266197.2380872527,1274985.1066617693,1283833.9662349708,1291850.7156697158,1296672.34142643,1300868.9538516034,2020-11-28,2020-11-22
1315496.301597795,1323873.3279797758,1333597.7302247135,1350006.43909813,1368474.5905545414,1387195.387189775,1404263.5665538085,1414578.4686599777,1423586.4462095567,2020-12-05,2020-11-22
1272541.7352830307,1320110.5434386248,1377165.3858447818,1478057.2380119886,1598847.0055619471,1729507.9523663688,1856212.6041429006,1936437.6414536638,2008823.503636088,2020-12-12,2020-11-22
1365369.6168768378,1421944.6678580306,1490087.5879053704,1611316.4176743922,1757611.5432725328,1917189.1399849846,2073165.6059140577,2172516.559099531,2262536.311677363,2020-12-19,2020-11-22
1061210.6462119266,1064371.9271868444,1068028.3712135346,1074166.1805968105,1081027.1087562975,1087931.8591251036,1094184.0510642705,1097942.9088802484,1101213.6129970783,2020-12-05,2020-11-29
1031172.6290720191,1036310.0676445274,1042264.9797717719,1052291.8343807627,1063545.5651842458,1074919.6489666835,1085260.6498116858,1091496.8449491838,1096934.8267525404,2020-12-12,2020-11-29
999522.1578222205,1029477.77394955,1065130.5910706897,1127481.4895567112,1201047.560084253,1279413.6799101573,1354308.338974936,1401210.6701926999,1443204.8657403649,2020-12-19,2020-11-29
1009911.9703803668,1041720.3192012613,1079638.6748130843,1146103.5765582037,1224760.3805023558,1308815.3813749987,1389388.8989369282,1439962.302740172,1485315.5855587202,2020-12-26,2020-11-29
1357724.112579679,1361701.7216283155,1366302.114631427,1374023.878274658,1382654.5091747523,1391339.3514978876,1399202.6150504665,1403929.7016201422,1408042.6752596868,2020-12-12,2020-12-06
1419604.1025274107,1427701.6332085847,1437094.9091614732,1452928.7751237697,1470726.0322970017,1488741.2921475247,1505144.1963135095,1515046.9900457596,1523688.9342775873,2020-12-19,2020-12-06
1311956.3903908136,1348863.2250439685,1392704.8264304188,1469165.1246644566,1559050.9391162423,1654436.1079319608,1745265.604477802,1801991.3254585215,1852683.403626841,2020-12-26,2020-12-06
1309415.7331090781,1357947.7133485565,1416138.6294528176,1518990.7818531701,1642050.8334146768,1775080.5151222236,1904002.11069708,1985592.6064111597,2059186.3006836365,2021-01-02,2020-12-06
1491445.5495811792,1492996.5053097107,1494786.659735615,1497782.7204481694,1501118.6046139805,1504461.9185110976,1507477.3717319488,1509284.8892173278,1510854.3960931066,2020-12-19,2020-12-13
1483978.3430016895,1491711.6400259214,1500677.6654004743,1515779.9210600206,1532737.932534075,1549885.6642631341,1565483.1307174119,1574892.564214359,1583099.6327593685,2020-12-26,2020-12-13
1520662.7225041944,1546851.6685440214,1577606.1055286392,1630365.9636012183,1691057.8436206733,1754009.0349742286,1812668.333654017,1848707.725907992,1880546.2829796656,2021-01-02,2020-12-13
1561137.530398687,1582993.9076847495,1608572.951909508,1652240.082455125,1702149.0457153013,1753565.6013890475,1801168.7753360295,1830273.2308471429,1855897.5858389544,2021-01-09,2020-12-13
1431311.7361424146,1433212.0971693697,1435406.2233802865,1439080.0103825617,1443172.882795759,1447277.3957045993,1450981.5658540814,1453202.8956150326,1455132.3216634265,2020-12-26,2020-12-20
1556115.6401374326,1557194.3581444626,1558438.9790231106,1560520.906235473,1562837.3404765876,1565157.2132282485,1567248.1153666738,1568500.7719256994,1569588.0754544828,2021-01-02,2020-12-20
1575634.4466566567,1578745.8849354344,1582340.8003554079,1588366.0226892608,1595087.392710684,1601837.2050522778,1607936.6656115388,1611598.0504922245,1614780.5068512775,2021-01-09,2020-12-20
1568665.8861491303,1572536.2174048952,1577010.314428871,1584514.7585794588,1592894.629338125,1601318.817913051,1608938.9377856757,1613516.6059078036,1617497.5962555131,2021-01-16,2020-12-20
1383787.0507354669,1390810.0147727383,1398951.2901740314,1412661.4890136921,1428052.1521464211,1443610.4934621453,1457758.367695797,1466291.533414977,1473733.2222946752,2021-01-02,2020-12-27
1238205.8141590774,1260764.8651760495,1287284.5779401094,1332848.517818992,1385367.223304383,1439955.3420719183,1490923.1232127666,1522284.1280067707,1550018.842957495,2021-01-09,2020-12-27
1089150.689016185,1123107.2504483827,1163572.9760908596,1234469.1033625004,1318317.1461951104,1407860.345162215,1493640.823277687,1547456.9301001013,1595702.1516663558,2021-01-16,2020-12-27
974697.3019653606,1016642.7721543983,1067248.3862175765,1157491.698641138,1266735.1932756442,1386289.0349596972,1503509.4647179493,1578349.931591693,1646273.2036372349,2021-01-23,2020-12-27
1322673.9929793274,1324468.9984490764,1326541.548332075,1330011.928037,1333878.4204000654,1337756.1530857764,1341255.8714396001,1343354.6896850085,1345177.761000085,2021-01-09,2021-01-03
1309038.1891752377,1312054.4884868755,1315540.7152992834,1321386.7307152008,1327912.5503849685,1334470.5985623884,1340400.7348178136,1343962.2797247497,1347059.0514864314,2021-01-16,2021-01-03
1364243.157256872,1380451.441209356,1399377.6938284251,1431583.4474893578,1468236.3707075315,1505827.7210797723,1540483.3518324837,1561603.672476801,1580156.7549021074,2021-01-23,2021-01-03
1359894.9571359402,1381682.1263882683,1407234.9038976994,1450991.3866276215,1501205.4760920228,1553157.311764966,1601451.0976146925,1631068.2742489097,1657199.969470434,2021-01-30,2021-01-03
1611064.506522894,1613580.9007598446,1616487.02064405,1621354.7041265967,1626780.2462719716,1632223.9439187283,1637139.015571122,1640087.5645060528,1642649.29116486,2021-01-16,2021-01-10
1715197.6680131303,1718679.253795796,1722702.0710798001,1729445.0453852047,1736967.9372736719,1744523.5528977192,1751351.9405161242,1755451.2329472878,1759014.527236203,2021-01-23,2021-01-10
1729001.2249183673,1744795.8241917468,1763185.1410602643,1794346.4041359362,1829615.1247229818,1865577.0685633412,1898547.932749779,1918557.7236040058,1936083.9404686599,2021-01-30,2021-01-10
1710526.406377163,1738263.246842537,1770800.7082285075,1826534.1674739404,1890517.6743350916,1956742.523966147,2018328.2400811873,2056108.062726085,2089448.6420370995,2021-02-06,2021-01-10
1309091.2238416919,1311068.856648168,1313352.6488015596,1317177.6462885053,1321440.5622167687,1325717.2746532427,1329578.282775148,1331894.3170811455,1333906.3983236495,2021-01-23,2021-01-17
1185810.2606718398,1189488.0587365695,1193742.4834589045,1200885.424325291,1208871.886843947,1216911.4631586988,1224193.0391614093,1228571.5926848894,1232382.0152928021,2021-01-30,2021-01-17
1366659.69152439,1381112.7345360613,1397965.9683071694,1426587.1565259048,1459075.1108265258,1492302.9198004566,1522855.5110045883,1541438.382109026,1557739.788651289,2021-02-06,2021-01-17
1207868.9157114124,1227215.4032910722,1249905.5610024517,1288759.8578763134,1333347.9215289045,1379478.6274419115,1422360.804939216,1448659.033351283,1471862.266443332,2021-02-13,2021-01-17
968920.2368652258,970700.6938381769,972757.5075969389,976204.0831895468,980047.802213574,983906.6555483361,987392.7336694853,989484.9161236697,991303.1620963643,2021-01-30,2021-01-24
826213.2449677142,828748.3824668557,831680.8893723041,836604.153815503,842108.4449890604,847648.950686757,852666.7405537103,855683.8820137961,858309.4466726984,2021-02-06,2021-01-24
852568.1871467374,883162.9334147094,919801.7983506996,984447.0159336122,1061614.5674283863,1144831.0285214602,1225291.6789215175,1276124.0843958051,1321918.3013946835,2021-02-13,2021-01-24
752272.5681659896,786403.9040669043,827681.4821376133,901545.8888285516,991370.431438099,1090144.5445076684,1187431.824367379,1249758.9689561715,1306461.7452764853,2021-02-20,2021-01-24
897282.1565081995,898409.8376071766,899711.740741198,901891.3751843792,904319.3005426857,906753.7619669838,908950.4563542763,910267.6341035201,911411.6350162139,2021-02-06,2021-01-31
815591.324386841,817516.8726247473,819742.5492246295,823475.087102952,827642.1428315793,831830.2852375299,835617.8622651242,837892.8185195634,839871.0188657569,2021-02-13,2021-01-31
828216.521361973,846712.935620002,868551.367130502,906306.586384422,950183.1932894159,996183.9783284069,1039487.2830520988,1066297.7531441217,1090111.1937793386,2021-02-20,2021-01-31
721164.5320442059,744327.3851010975,771957.500981212,820433.9331884461,877873.0819709335,939333.5854041664,998320.6939107152,1035379.2745976569,1068634.2905198578,2021-02-27,2021-01-31
